.model,date,.rep,patients,Specialty
combination,2023-09-01,1,2238.6902715930414,Cardiology
combination,2023-10-01,1,2343.190223084363,Cardiology
combination,2023-11-01,1,2416.1902053033564,Cardiology
combination,2023-12-01,1,2413.8484186759715,Cardiology
combination,2024-01-01,1,2510.1495571945957,Cardiology
combination,2024-02-01,1,2469.7213336658774,Cardiology
combination,2024-03-01,1,2522.172027384877,Cardiology
combination,2024-04-01,1,2525.0378077120804,Cardiology
combination,2024-05-01,1,2641.017176280439,Cardiology
combination,2024-06-01,1,2623.4086390247057,Cardiology
combination,2024-07-01,1,2649.3164715921257,Cardiology
combination,2024-08-01,1,2663.3257527857977,Cardiology
combination,2023-09-01,10,2273.6818666546897,Cardiology
combination,2023-10-01,10,2406.53000155804,Cardiology
combination,2023-11-01,10,2443.3115457331132,Cardiology
combination,2023-12-01,10,2415.0609268086746,Cardiology
combination,2024-01-01,10,2480.652782540727,Cardiology
combination,2024-02-01,10,2567.567932241308,Cardiology
combination,2024-03-01,10,2633.368969814997,Cardiology
combination,2024-04-01,10,2663.2627766124333,Cardiology
combination,2024-05-01,10,2643.750434830933,Cardiology
combination,2024-06-01,10,2741.732966474815,Cardiology
combination,2024-07-01,10,2709.614164866809,Cardiology
combination,2024-08-01,10,2736.8041536715546,Cardiology
combination,2023-09-01,11,2213.2436221763155,Cardiology
combination,2023-10-01,11,2320.9388154665276,Cardiology
combination,2023-11-01,11,2382.6254594622524,Cardiology
combination,2023-12-01,11,2444.198348130647,Cardiology
combination,2024-01-01,11,2482.26974527757,Cardiology
combination,2024-02-01,11,2567.6809999741336,Cardiology
combination,2024-03-01,11,2509.1936338222145,Cardiology
combination,2024-04-01,11,2615.0891219795185,Cardiology
combination,2024-05-01,11,2647.6373800283773,Cardiology
combination,2024-06-01,11,2725.2436075206087,Cardiology
combination,2024-07-01,11,2745.1204510579137,Cardiology
combination,2024-08-01,11,2718.7802338061642,Cardiology
combination,2023-09-01,12,2261.413678694552,Cardiology
combination,2023-10-01,12,2383.007286064241,Cardiology
combination,2023-11-01,12,2444.2649382184695,Cardiology
combination,2023-12-01,12,2410.0551609500535,Cardiology
combination,2024-01-01,12,2464.8449412711934,Cardiology
combination,2024-02-01,12,2493.559357764926,Cardiology
combination,2024-03-01,12,2494.6088895593857,Cardiology
combination,2024-04-01,12,2542.5957973253103,Cardiology
combination,2024-05-01,12,2544.752052261324,Cardiology
combination,2024-06-01,12,2607.9643650099338,Cardiology
combination,2024-07-01,12,2684.112081960164,Cardiology
combination,2024-08-01,12,2684.2799547961404,Cardiology
combination,2023-09-01,13,2274.671207440762,Cardiology
combination,2023-10-01,13,2366.3310623864045,Cardiology
combination,2023-11-01,13,2479.455311071273,Cardiology
combination,2023-12-01,13,2501.85859022392,Cardiology
combination,2024-01-01,13,2478.5854112798957,Cardiology
combination,2024-02-01,13,2622.624910269919,Cardiology
combination,2024-03-01,13,2607.1722511431626,Cardiology
combination,2024-04-01,13,2666.9801295711777,Cardiology
combination,2024-05-01,13,2654.8569850129797,Cardiology
combination,2024-06-01,13,2739.994686737381,Cardiology
combination,2024-07-01,13,2773.9601774608823,Cardiology
combination,2024-08-01,13,2829.955989540249,Cardiology
combination,2023-09-01,14,2229.6123212133143,Cardiology
combination,2023-10-01,14,2365.005314597607,Cardiology
combination,2023-11-01,14,2371.0976490599337,Cardiology
combination,2023-12-01,14,2452.7963503292863,Cardiology
combination,2024-01-01,14,2425.4105216354137,Cardiology
combination,2024-02-01,14,2529.5591619217457,Cardiology
combination,2024-03-01,14,2545.5424712704908,Cardiology
combination,2024-04-01,14,2667.9838671196944,Cardiology
combination,2024-05-01,14,2642.751369419745,Cardiology
combination,2024-06-01,14,2690.167109135186,Cardiology
combination,2024-07-01,14,2778.8931100021664,Cardiology
combination,2024-08-01,14,2826.977822359603,Cardiology
combination,2023-09-01,15,2228.8306437441925,Cardiology
combination,2023-10-01,15,2313.2495344186746,Cardiology
combination,2023-11-01,15,2441.9188061055547,Cardiology
combination,2023-12-01,15,2423.1065760124234,Cardiology
combination,2024-01-01,15,2541.636316729874,Cardiology
combination,2024-02-01,15,2487.8112762984956,Cardiology
combination,2024-03-01,15,2568.2515218923245,Cardiology
combination,2024-04-01,15,2641.968862473691,Cardiology
combination,2024-05-01,15,2702.653392573573,Cardiology
combination,2024-06-01,15,2730.9650293224418,Cardiology
combination,2024-07-01,15,2780.1292897432345,Cardiology
combination,2024-08-01,15,2792.2426913128347,Cardiology
combination,2023-09-01,16,2306.3536604836954,Cardiology
combination,2023-10-01,16,2403.9210687427126,Cardiology
combination,2023-11-01,16,2482.1058772386496,Cardiology
combination,2023-12-01,16,2489.8350994946554,Cardiology
combination,2024-01-01,16,2532.306362920123,Cardiology
combination,2024-02-01,16,2617.3703888248065,Cardiology
combination,2024-03-01,16,2596.9790344761686,Cardiology
combination,2024-04-01,16,2668.8884543692707,Cardiology
combination,2024-05-01,16,2761.811677435735,Cardiology
combination,2024-06-01,16,2761.7919078335854,Cardiology
combination,2024-07-01,16,2823.6089092703915,Cardiology
combination,2024-08-01,16,2752.920750894386,Cardiology
combination,2023-09-01,17,2297.2191044077254,Cardiology
combination,2023-10-01,17,2341.674560217416,Cardiology
combination,2023-11-01,17,2451.676655811438,Cardiology
combination,2023-12-01,17,2404.339775205577,Cardiology
combination,2024-01-01,17,2497.3694707237764,Cardiology
combination,2024-02-01,17,2491.247049272223,Cardiology
combination,2024-03-01,17,2552.0904950627337,Cardiology
combination,2024-04-01,17,2656.8980759008887,Cardiology
combination,2024-05-01,17,2667.2799763777034,Cardiology
combination,2024-06-01,17,2689.1457354631975,Cardiology
combination,2024-07-01,17,2763.0184167514317,Cardiology
combination,2024-08-01,17,2703.2775877809036,Cardiology
combination,2023-09-01,18,2216.8081086088823,Cardiology
combination,2023-10-01,18,2360.2085792071266,Cardiology
combination,2023-11-01,18,2425.407386708721,Cardiology
combination,2023-12-01,18,2450.9715428734253,Cardiology
combination,2024-01-01,18,2503.9107891741646,Cardiology
combination,2024-02-01,18,2543.3459143448,Cardiology
combination,2024-03-01,18,2529.594626672473,Cardiology
combination,2024-04-01,18,2596.0429737187783,Cardiology
combination,2024-05-01,18,2676.1437871853013,Cardiology
combination,2024-06-01,18,2713.5835839387983,Cardiology
combination,2024-07-01,18,2749.8613054582706,Cardiology
combination,2024-08-01,18,2700.8996660502116,Cardiology
combination,2023-09-01,19,2262.903211207789,Cardiology
combination,2023-10-01,19,2389.8492250868726,Cardiology
combination,2023-11-01,19,2455.6041231170057,Cardiology
combination,2023-12-01,19,2407.9923286642866,Cardiology
combination,2024-01-01,19,2486.6413430279345,Cardiology
combination,2024-02-01,19,2499.165796895948,Cardiology
combination,2024-03-01,19,2472.1545884820057,Cardiology
combination,2024-04-01,19,2558.829900629048,Cardiology
combination,2024-05-01,19,2613.338385674572,Cardiology
combination,2024-06-01,19,2566.409817641592,Cardiology
combination,2024-07-01,19,2679.2247986909983,Cardiology
combination,2024-08-01,19,2749.4460518533597,Cardiology
combination,2023-09-01,2,2241.5826379405103,Cardiology
combination,2023-10-01,2,2340.5575440715743,Cardiology
combination,2023-11-01,2,2373.8213543128227,Cardiology
combination,2023-12-01,2,2413.414504998699,Cardiology
combination,2024-01-01,2,2490.9011046174815,Cardiology
combination,2024-02-01,2,2499.4108427666547,Cardiology
combination,2024-03-01,2,2559.663575114025,Cardiology
combination,2024-04-01,2,2643.866716708633,Cardiology
combination,2024-05-01,2,2678.9494164026487,Cardiology
combination,2024-06-01,2,2772.8209999517812,Cardiology
combination,2024-07-01,2,2734.627830855649,Cardiology
combination,2024-08-01,2,2759.3213595871844,Cardiology
combination,2023-09-01,20,2276.845384698753,Cardiology
combination,2023-10-01,20,2396.2174565271507,Cardiology
combination,2023-11-01,20,2451.2933549344243,Cardiology
combination,2023-12-01,20,2459.3140369955827,Cardiology
combination,2024-01-01,20,2513.872904722158,Cardiology
combination,2024-02-01,20,2505.7447707146575,Cardiology
combination,2024-03-01,20,2537.158356703266,Cardiology
combination,2024-04-01,20,2622.358925530096,Cardiology
combination,2024-05-01,20,2644.9835838418835,Cardiology
combination,2024-06-01,20,2626.843699865589,Cardiology
combination,2024-07-01,20,2736.2209440327247,Cardiology
combination,2024-08-01,20,2713.4444532026555,Cardiology
combination,2023-09-01,21,2267.2407334787777,Cardiology
combination,2023-10-01,21,2372.2827846392124,Cardiology
combination,2023-11-01,21,2387.5079283507976,Cardiology
combination,2023-12-01,21,2390.8305084912167,Cardiology
combination,2024-01-01,21,2514.4024198571615,Cardiology
combination,2024-02-01,21,2515.3233656953707,Cardiology
combination,2024-03-01,21,2553.4128781622376,Cardiology
combination,2024-04-01,21,2592.0884665523868,Cardiology
combination,2024-05-01,21,2616.7370504320425,Cardiology
combination,2024-06-01,21,2617.2428591125176,Cardiology
combination,2024-07-01,21,2708.2300361352623,Cardiology
combination,2024-08-01,21,2740.5845836791245,Cardiology
combination,2023-09-01,22,2226.1432181627033,Cardiology
combination,2023-10-01,22,2364.927070034035,Cardiology
combination,2023-11-01,22,2427.525100070643,Cardiology
combination,2023-12-01,22,2402.250022197559,Cardiology
combination,2024-01-01,22,2531.869772195196,Cardiology
combination,2024-02-01,22,2493.625986043187,Cardiology
combination,2024-03-01,22,2546.2899458835504,Cardiology
combination,2024-04-01,22,2614.2841607046985,Cardiology
combination,2024-05-01,22,2696.0260644035343,Cardiology
combination,2024-06-01,22,2720.7751929302326,Cardiology
combination,2024-07-01,22,2770.3047832346683,Cardiology
combination,2024-08-01,22,2775.841431933189,Cardiology
combination,2023-09-01,23,2203.6301473258545,Cardiology
combination,2023-10-01,23,2331.9324199675675,Cardiology
combination,2023-11-01,23,2319.2002163707475,Cardiology
combination,2023-12-01,23,2330.170022629615,Cardiology
combination,2024-01-01,23,2428.808765477789,Cardiology
combination,2024-02-01,23,2459.013751681275,Cardiology
combination,2024-03-01,23,2492.8610254043047,Cardiology
combination,2024-04-01,23,2562.2799455113095,Cardiology
combination,2024-05-01,23,2566.393358238087,Cardiology
combination,2024-06-01,23,2609.548484938902,Cardiology
combination,2024-07-01,23,2668.764175813786,Cardiology
combination,2024-08-01,23,2639.3191877836457,Cardiology
combination,2023-09-01,24,2197.3531774581797,Cardiology
combination,2023-10-01,24,2321.947552984693,Cardiology
combination,2023-11-01,24,2450.1625548462857,Cardiology
combination,2023-12-01,24,2419.0989730954216,Cardiology
combination,2024-01-01,24,2500.9140758148665,Cardiology
combination,2024-02-01,24,2507.239400459512,Cardiology
combination,2024-03-01,24,2508.5659224404462,Cardiology
combination,2024-04-01,24,2580.4766795133437,Cardiology
combination,2024-05-01,24,2599.852665168002,Cardiology
combination,2024-06-01,24,2611.978267877166,Cardiology
combination,2024-07-01,24,2664.2276257788185,Cardiology
combination,2024-08-01,24,2668.4920272249597,Cardiology
combination,2023-09-01,25,2214.732664023987,Cardiology
combination,2023-10-01,25,2363.9101977636174,Cardiology
combination,2023-11-01,25,2456.218982989464,Cardiology
combination,2023-12-01,25,2409.101411969842,Cardiology
combination,2024-01-01,25,2437.827364500756,Cardiology
combination,2024-02-01,25,2410.9163943942053,Cardiology
combination,2024-03-01,25,2447.023683532562,Cardiology
combination,2024-04-01,25,2457.9008989343797,Cardiology
combination,2024-05-01,25,2463.8094584170285,Cardiology
combination,2024-06-01,25,2562.508129031428,Cardiology
combination,2024-07-01,25,2651.3377279204506,Cardiology
combination,2024-08-01,25,2640.363202848382,Cardiology
combination,2023-09-01,26,2204.250756355573,Cardiology
combination,2023-10-01,26,2370.3741504663626,Cardiology
combination,2023-11-01,26,2465.0115115905555,Cardiology
combination,2023-12-01,26,2456.2425323445987,Cardiology
combination,2024-01-01,26,2558.2697060056626,Cardiology
combination,2024-02-01,26,2545.443496980098,Cardiology
combination,2024-03-01,26,2569.4812863164957,Cardiology
combination,2024-04-01,26,2651.897861598517,Cardiology
combination,2024-05-01,26,2654.4233970173245,Cardiology
combination,2024-06-01,26,2679.8469482788682,Cardiology
combination,2024-07-01,26,2705.810751228423,Cardiology
combination,2024-08-01,26,2743.6038847409272,Cardiology
combination,2023-09-01,27,2278.8197712395972,Cardiology
combination,2023-10-01,27,2391.1915379931556,Cardiology
combination,2023-11-01,27,2390.3561721464926,Cardiology
combination,2023-12-01,27,2442.3647591461345,Cardiology
combination,2024-01-01,27,2494.83814763768,Cardiology
combination,2024-02-01,27,2497.965487690318,Cardiology
combination,2024-03-01,27,2525.5299085501933,Cardiology
combination,2024-04-01,27,2590.7861311652514,Cardiology
combination,2024-05-01,27,2677.128816816223,Cardiology
combination,2024-06-01,27,2630.4033444044076,Cardiology
combination,2024-07-01,27,2744.940216877431,Cardiology
combination,2024-08-01,27,2691.3427323762144,Cardiology
combination,2023-09-01,28,2231.5306835286233,Cardiology
combination,2023-10-01,28,2340.220710220564,Cardiology
combination,2023-11-01,28,2396.1135397328344,Cardiology
combination,2023-12-01,28,2407.1329643066233,Cardiology
combination,2024-01-01,28,2489.2800490136715,Cardiology
combination,2024-02-01,28,2534.609982352564,Cardiology
combination,2024-03-01,28,2545.5769788603466,Cardiology
combination,2024-04-01,28,2600.1797844511766,Cardiology
combination,2024-05-01,28,2642.504166409566,Cardiology
combination,2024-06-01,28,2685.4746196256947,Cardiology
combination,2024-07-01,28,2696.297779311213,Cardiology
combination,2024-08-01,28,2753.665425938051,Cardiology
combination,2023-09-01,29,2331.576578610775,Cardiology
combination,2023-10-01,29,2463.7314877136682,Cardiology
combination,2023-11-01,29,2557.9528671575868,Cardiology
combination,2023-12-01,29,2548.562591467192,Cardiology
combination,2024-01-01,29,2591.2236083524176,Cardiology
combination,2024-02-01,29,2611.517633594447,Cardiology
combination,2024-03-01,29,2663.4135952733373,Cardiology
combination,2024-04-01,29,2706.0174723974324,Cardiology
combination,2024-05-01,29,2676.3353627935453,Cardiology
combination,2024-06-01,29,2765.402389972823,Cardiology
combination,2024-07-01,29,2865.8536856364763,Cardiology
combination,2024-08-01,29,2893.2542511978827,Cardiology
combination,2023-09-01,3,2297.024291236855,Cardiology
combination,2023-10-01,3,2389.473262961319,Cardiology
combination,2023-11-01,3,2469.6044564977396,Cardiology
combination,2023-12-01,3,2472.4569671004683,Cardiology
combination,2024-01-01,3,2508.846113454425,Cardiology
combination,2024-02-01,3,2518.703732497909,Cardiology
combination,2024-03-01,3,2534.076373500859,Cardiology
combination,2024-04-01,3,2617.546961458577,Cardiology
combination,2024-05-01,3,2631.7780177058116,Cardiology
combination,2024-06-01,3,2689.1688716244103,Cardiology
combination,2024-07-01,3,2756.1973903106386,Cardiology
combination,2024-08-01,3,2753.249104090085,Cardiology
combination,2023-09-01,30,2233.0218050486355,Cardiology
combination,2023-10-01,30,2414.4734180271876,Cardiology
combination,2023-11-01,30,2475.05128915495,Cardiology
combination,2023-12-01,30,2493.4776558427875,Cardiology
combination,2024-01-01,30,2526.14883837468,Cardiology
combination,2024-02-01,30,2541.3387275530404,Cardiology
combination,2024-03-01,30,2547.1818196347076,Cardiology
combination,2024-04-01,30,2671.821586864533,Cardiology
combination,2024-05-01,30,2674.322796717394,Cardiology
combination,2024-06-01,30,2681.498757312415,Cardiology
combination,2024-07-01,30,2719.71796869243,Cardiology
combination,2024-08-01,30,2728.1698792124853,Cardiology
combination,2023-09-01,31,2297.5846303838184,Cardiology
combination,2023-10-01,31,2395.5343923387068,Cardiology
combination,2023-11-01,31,2449.3510303036537,Cardiology
combination,2023-12-01,31,2476.2306194700377,Cardiology
combination,2024-01-01,31,2492.642396970904,Cardiology
combination,2024-02-01,31,2527.9841286234378,Cardiology
combination,2024-03-01,31,2569.9684331351195,Cardiology
combination,2024-04-01,31,2636.1677223392953,Cardiology
combination,2024-05-01,31,2648.0519078092866,Cardiology
combination,2024-06-01,31,2661.3594624092552,Cardiology
combination,2024-07-01,31,2825.87966076379,Cardiology
combination,2024-08-01,31,2696.2797398279745,Cardiology
combination,2023-09-01,32,2262.3616708424092,Cardiology
combination,2023-10-01,32,2382.117395971168,Cardiology
combination,2023-11-01,32,2454.4990986747616,Cardiology
combination,2023-12-01,32,2490.7402111451247,Cardiology
combination,2024-01-01,32,2533.747571516733,Cardiology
combination,2024-02-01,32,2491.0988207436185,Cardiology
